original_text
"Ever since, the #vietnamwar, she's good a stirring things up and fighting for what is right. #ClimateChange… https://t.co/ncuxTF5SRu"
Fonda arrested during climate protest: I was inspired by #GretaThunberg #WRC-TV #JaneFonda...… https://t.co/xK9cz2nA3K
"#Yuge #NobelPeacePrize News
#GretaThunberg Denied: #Ethiopian PM #AbiyAhmed Wins #NobelPeacePrize… https://t.co/e1srK018bZ"
"#GretaThunberg has been snubbed yet again!

Silly child, focus on school and let the adults handle adult business! https://t.co/C7D5DD2iZH"
"Today may be due to the social media hype, people are tooo eager to eulogise, to assign greatness to achievers. 

T… https://t.co/D9jCB3getu"
And of course #GretaThunberg https://t.co/PuRR9ya4b4
To critics of #GretaThunberg: is #JaneFonda old enough for you? #ClimateChange
"Climate change school strike with Greta in downtown Denver. #reuterspictures #reuters #gretathunberg @ Denver, Colo… https://t.co/y52g1Jwnhg"
#Nobel snub no obstacle in #GretaThunberg's #Climate quest https://t.co/7GdulrXYe6
I am glad he got the Peace Prize but this is not a reason to criticize her. People have to split the two things. Sh… https://t.co/VNzp63GxR4
"Dear U.N., #Sustainability Is Evolutionary Bullshit. My Ode to ... |  | https://t.co/XIqp0DGbKj #AlbertEinstein… https://t.co/Rtz3MYznNU"
"Who got Ian’s “door knob” reference to Putin + #GretaThunberg? 

 #HIGNFY"
"Ha! Right move.

""#GretaThunberg has been passed over for the #NobelPeacePrize, which instead was awarded to Ethiop… https://t.co/FRyijt6hMA"
"#BBCradio5 Hi guys, isn’t #GretaThunberg aged 18; if so why are you telling her to get back to school?"
"Sorry but personally I think she's amazing, I'm no climate change activist, but I'm the mum of an autistic little b… https://t.co/7B56iddF5x"
@schweizok2 Just in case #GretaThunberg is watching. https://t.co/Rpim8HZQov
@NatashaFatah #GretaThunberg 's baby ??
@AOC #AocFlysAgain what's your carbon footprint today #GretaThunberg
"One girl dreaming:  

Picture a climate change protest w 
#GretaThunberg and #JaneFonda.  With specific demands for… https://t.co/93cZByLVQL"
No the big question is she a test tube construct or the GG Grand daughter?  #cliamtechangeterroist #GretaThunberg… https://t.co/uObxUsBR9V
"Make @GretaThunberg happy, buy an #ElectricCar.  I have a #plugin #hybrid and havent been to a gas station in 6 wee… https://t.co/SBAtTpMGpb"
"@tictoc @CarlosSalgadoG4 #GretaThunberg 
Right here 
Right now...

We're all in this together and we're not be sile… https://t.co/8LWkCfepb0"
Some art I did today celebrating our young people's involvement in helping our planet. #Earth #Love #Planet #Design… https://t.co/GIl9Wl5ssc
"From the @PeaceBoat_US #BlueInnovationSummit: Founder Yoshioka Tatsuya's remarks, @EcoshipProject video &amp; how his d… https://t.co/dfAJZ18qOa"
How dare you? Our world must be a warped place that #GretaThunberg was even considered for #NobelPeacePrize There m… https://t.co/Y6NVfYY2n2
"I don't agree with Piers Morgan but come on this is hilarious 😅😅😅.
#ClimateStrikes #climatestrike #FridaysForFuture… https://t.co/0p0QMd09mk"
Norwegian Nobel committee had reputation to recover - After awarding famed #PeacePrize to clowns such as #Gore &amp;… https://t.co/5hNC3m6i9h
"With this said, I am willing to give up any tax cut so our future generations &amp; all animals can live! #LifeFirst!… https://t.co/QsDBfIID5n"
"Caught out that it was Abiy Ahmed, not Greta? I can help repurpose your rant content | Marina Hyde… https://t.co/d1kpQLLewz"
"Swedish teen activist #GretaThunberg spoke to thousands of protesters at a climate strike rally in Denver today.

M… https://t.co/lKaiM7tfU1"
"Climate change people #ClimateCrisis
#ClimateEmergency
#climatechange
#GretaThunberg
#GlobalWarming
#ActOnClimate… https://t.co/CGL7NdLDNv"
Greta and Tokata at the Front Lines #StandingRock #IndigenousYouthActivists #IndigenousKnowledge #IndigenousRights… https://t.co/66kA3nDxJc
"⚪️ | hand in hand | in the name of unity and making a difference | 

Greta Thunberg speaking at Denver’s Civic Cent… https://t.co/30ovELwVOh"
"@PeteAFord @UNDPCambodia I disagree Pete. Unfortunately, the subject of #climatechange is of very limited interest… https://t.co/CXRiwGAQK0"
"Ahmed: recognised for his peace efforts with Eritrea and important improvements in Ethiopia itself, where the gover… https://t.co/BbZAT0pFno"
"This is awesome! Sleep, Eat, Spread the Message, Repeat! #GretaThunberg #FatboySlim https://t.co/oCLTjqTD77"
@Stuti8220 @himanshu_ddn @V_Randhawa_ @GretaThunberg @sachinagarwallk @drsudeshna246 @BHARATNARAYAN7… https://t.co/NNo2pKX0Lt
@Peter90666913 I think you mean 'cretin' not 'cretton' #NobelPrize #GretaThunberg
"A psychotherapist explains why some adults are reacting badly to young climate strikers

#ClimateCrisis… https://t.co/Pk1oa2Y9UL"
DJ #FatboySlim samples #GretaThunberg's powerful UN speech  https://t.co/i6BOdPiGdk
"this gave me goosebumps: #FatboySlim turns their ‘Right Here, Right Now!’ into a climate anthem by sampling… https://t.co/7t7qeHOVXT"
"#GretaThunberg at the #UN #Remix 
#Trump #Joker #Cyberpunk2077 #CDProjektRed #ClimateChange #puppet https://t.co/W4dsA8nyvZ"
Just let that sink in..... her mothers failed attempt at stardom and a product of pushy parenting stole your childh… https://t.co/6FDN4HvSxE
"Which @GretaThunberg mashup do you prefer?

#GretaThunberg 
#ClimateStrike 
#ClimateAction"
This is so powerful. Considering who is inside the White House. It takes women. Women change the world.… https://t.co/GzEDZhXFGI
#MattBaish teacher who made snide (threatening) comment about his “sniper rifle” &amp; 16 y/o #GretaThunberg resigns.… https://t.co/MGRPwJeOMq
"@JATetro @GretaThunberg It’s got be #deathmetal #GretaThunberg 
There’s no way to misinterpret the message. https://t.co/9G1lNw8thG"
Although great strides have been made in the last couple of years to combat the ever-looming presence of climate ch… https://t.co/J9rVQotkHD
"@GretaThunberg Thank you so much  #GretaThunberg
From Philippines with Love and Full supports.
God bless po. 😘😘😘"
"@GretaThunberg Thank you so much  #GretaThunberg
From Philippines with Love and Full supports.
God bless po. 😘😘😘"
"Me, at the news overnight that pathetic vapid virtue signalers Jacinda Ardern the NZ #PartTimePM 
 &amp; #GretaThunberg… https://t.co/6oy92rmchJ"
"Adults must stop deifying children | The Spectator https://t.co/fKXsXX3IZr

@brexitparty_uk #GretaThunberg… https://t.co/FQz1hIc0XD"
Welcome to Colorado @GretaThunberg!!! Thanks for helping further lead this globe!!! #FridaysForFuture… https://t.co/RfswYQt1Ez
"Remember when winning a #NobelPeacePrize actually meant something? 

#GretaThunberg #Woke8YearOld https://t.co/FEErqHhrMM"
"😡👏🏾👏🏾👍🏾

Teacher resigns after ‘sniper rifle’ comment about #GretaThunberg: https://t.co/CtqrhUjj9u"
Significant changes in #climate have continually occurred throughout geologic time.  Get over it.  #ClimateChange i… https://t.co/VBDez4nvN0
"#GretaThunberg and the #ClimateChange Global #SchoolStrike 

.@Medium .@GretaThunberg #medium #news #politics… https://t.co/auTNbzvyKb"
@NATO @realDonaldTrump #DonaldTrump @GretaThunberg #NATO #DonaldTrump #GretaThunberg #Juventus @juventusfc… https://t.co/5aEMxbLIRj
"OhMyAllah!!!
#GretaThunberg was ROBBED of the #NobelPeacePrize, yo!
After all, she earned it just like Barack!!!
-m… https://t.co/x3poP7wpsR"
Absolutely love this!! #RightHereRightNow #GretaThunberg #FatboySlim https://t.co/FHhGRhWbgp
