city,max_checkins,locations,total_checkins,total_engagement,max_engagement,UHS,latitude,longitude
"Pearland, Texas",359915,359,769957,891427,459711,0.8677549525492982,29.56357,-95.28605
"Franklin, Tennessee",479495,301,1250014,1615410,169355,0.8675838830605097,38.20091,-84.87328
"Killeen, Texas",584892,345,1041711,510402,33406,0.8671330148188893,31.11712,-97.7278
"Rockford, Illinois",487917,338,1354062,1175023,169352,0.8667535164564104,42.27113,-89.094
"Baytown, Texas",315053,379,625633,298580,24311,0.8667413643461902,29.7355,-94.97743
"Colorado Springs, Colorado",2545331,326,3848911,2310974,347624,0.8663887005960906,38.83388,-104.82136
"Warwick, Rhode Island",85777,292,336266,197064,49912,0.866290377260859,41.7001,-71.41617
"Corona, California",750558,302,1330245,2137195,572408,0.865312780728362,33.87529,-117.56644
"Albany, Georgia",324749,323,625118,421564,100072,0.864451191615023,42.65258,-73.75623
"Topeka, Kansas",444512,265,858187,670779,48672,0.8641100366237195,39.04833,-95.67804
"Jersey City, New Jersey",1481481,305,2349711,3539270,1104410,0.8636006725933529,40.72816,-74.07764
"Inglewood, California",941227,338,1928048,2364161,880714,0.8633550616997088,33.96168,-118.35313
"Abilene, Texas",499551,308,915780,1050233,144046,0.8632575509401822,32.44874,-99.73314
"Independence, Missouri",268382,343,565471,394527,26915,0.8630451428985748,39.09112,-94.41551
"Atlanta, Georgia",8906494,326,23864876,15976869,2206298,0.8626463007811145,33.749,-84.38798
"Sterling Heights, Michigan",49463,372,370822,240503,46335,0.8623598384130391,42.58031,-83.0302
"Anchorage, Alaska",1508553,289,3053340,1631288,291739,0.8622701697157866,61.21806,-149.90028
"Garland, Texas",503099,364,864777,692009,279490,0.8616660711374147,32.91262,-96.63888
"Memphis, Tennessee",3133995,330,8227842,5734027,2284818,0.8600616054610675,35.14953,-90.04898
"Durham, North Carolina",1016828,320,2631029,2650183,1217214,0.8599699965298748,35.99403,-78.89862
"Mesquite, Texas",373201,332,689381,388745,106205,0.8597945113079705,32.7668,-96.59916
"Coral Springs, Florida",388717,289,870838,555709,55870,0.8584042037669464,26.27119,-80.2706
"Jurupa Valley, California",76037,254,188883,98834,15359,0.8582826405764415,33.99251,-117.51644
"Buena Park, California",406012,308,1724013,928294,168912,0.8576814675991422,33.86751,-117.99812
"West Covina, California",346160,317,2020449,489451,74431,0.8575207787971881,34.06862,-117.93895
"Rock Hill, South Carolina",309351,331,676021,525317,55487,0.8574866757097782,34.76954,-92.26709
"High Point, North Carolina",324515,309,734510,509136,40318,0.8554927774979237,35.95569,-80.00532
"Greensboro, North Carolina",1234968,320,2600367,1702374,276993,0.8552777357965241,36.07264,-79.79198
"Glendale, Arizona",606786,361,1326252,736536,170274,0.8550690215735772,33.53865,-112.18599
"Longview, Texas",333232,345,856589,853175,119547,0.8549689524381004,32.5007,-94.74049
"Palatine, Illinois",137354,301,605987,325273,39276,0.8547460589088545,42.1103,-88.03424
"Bloomington, Minnesota",231967,342,570599,554688,145001,0.8543916130242079,39.16533,-86.52639
"Joliet, Illinois",358224,275,984965,377589,39953,0.8533815922393182,41.52519,-88.0834
"Peoria, Arizona",334807,303,725708,442195,92637,0.8533735331565864,40.69365,-89.58899
"Greenville, North Carolina",430391,229,1100670,650132,91149,0.8531676160883825,34.85262,-82.39401
"Lake Forest, California",194817,264,400717,3593606,1521481,0.8529810315010344,33.64697,-117.68922
"Houston, Texas",12240654,399,26226834,20066304,10844351,0.8525328676728575,29.76328,-95.36327
"Redding, California",444494,313,1057254,711400,158194,0.851825578337845,40.58654,-122.39168
"Jonesboro, Arkansas",295277,236,586550,469295,45052,0.8502020288125479,35.8423,-90.70428
"Mount Pleasant, South Carolina",273903,294,639737,320182,21480,0.8495881901468885,43.59781,-84.76751
"Kent, Washington",344631,297,1025792,576238,135416,0.8493369026079362,39.15817,-75.52437
"Greeley, Colorado",337153,334,757734,690152,123208,0.8492782427606521,41.56744,-98.52124
"Las Cruces, New Mexico",567202,326,1260600,702867,151925,0.8492146596858638,32.31232,-106.77834
"Aurora, Illinois",369276,293,1153725,565106,48852,0.8487915231099266,39.72943,-104.83192
"Palm Bay, Florida",13429,287,99141,206318,58208,0.8485086896440424,28.03446,-80.58866
"Odessa, Texas",503465,353,1093353,679570,117196,0.8484414457178971,31.84568,-102.36764
"O'Fallon, Missouri",141241,332,488751,369481,73350,0.8483031236764733,38.81061,-90.69985
"Lawton, Oklahoma",330750,321,703502,516671,61988,0.8482122296738318,34.60869,-98.39033
"Rapid City, South Dakota",470734,313,1056941,1023714,91189,0.8476452327991818,44.08054,-103.23101
"Madison, Wisconsin",1726703,320,5094708,2780508,614822,0.8474540640994538,43.07305,-89.40123
"San Marcos, California",273846,313,1093073,490777,118920,0.8467513148710104,33.14337,-117.16614
"Carrollton, Texas",316714,290,765885,372565,69512,0.8463777198926732,32.95373,-96.89028
"Compton, California",581393,327,1158947,939274,282744,0.8457824214567189,33.89585,-118.22007
"St. George, Utah",509689,421,1117557,1529526,507137,0.8450083530415003,17.71775,-64.83042
"Menifee, California",88385,343,587127,153742,10602,0.8449705089358861,37.94138,-83.59887
"Phoenix, Arizona",5377320,342,12923139,7299210,1896564,0.844714120926812,33.44838,-112.07404
"Deerfield Beach, Florida",460797,295,1075436,1146477,107561,0.8442789715055103,26.31841,-80.09977
"Flint, Michigan",420573,303,1054975,692108,44575,0.8439726059859238,43.01253,-83.68746
"Jackson, Mississippi",776125,304,1689688,1257536,129249,0.8431473739530612,32.29876,-90.18481
"Billings, Montana",490357,346,1018045,1472814,487519,0.8420757432137086,45.78329,-108.50069
"Meridian, Idaho",228647,327,503429,406369,18089,0.8419896350826035,32.36431,-88.70366
"Long Beach, California",2927233,352,8892877,3076167,328940,0.8412051577908927,33.76696,-118.18923
