,city,max_checkins,locations,total_checkins,UHS,latitude,longitude,text,city_without_state,city_y,population,text2
23,"Johns Creek, Georgia",174072,255,461418,90.3796557568192,34.028929999999995,-84.19858,UHS : 90.3796557568192<br>Checkins :0.461418 million<br>Locations : 255,Johns Creek,Johns Creek,0.082788,"City : Johns Creek, Georgia<br>UHS : 90.3796557568192<br>Population :0.082788 million"
24,"Orem, Utah",283429,329,446662,90.3329587025536,40.2969,-111.69465,UHS : 90.3329587025536<br>Checkins :0.446662 million<br>Locations : 329,Orem,Orem,0.091648,"City : Orem, Utah<br>UHS : 90.3329587025536<br>Population :0.091648 million"
25,"Fresno, California",1599831,323,2704331,90.32814400308247,36.74773,-119.77237,UHS : 90.32814400308247<br>Checkins :2.704331 million<br>Locations : 323,Fresno,Fresno,0.509924,"City : Fresno, California<br>UHS : 90.32814400308247<br>Population :0.509924 million"
26,"Olathe, Kansas",302469,293,501215,90.01586145666032,38.8814,-94.81913,UHS : 90.01586145666032<br>Checkins :0.501215 million<br>Locations : 293,Olathe,Olathe,0.131885,"City : Olathe, Kansas<br>UHS : 90.01586145666032<br>Population :0.131885 million"
27,"Hialeah, Florida",439960,315,908716,89.96110996174822,25.8576,-80.27811,UHS : 89.96110996174822<br>Checkins :0.908716 million<br>Locations : 315,Hialeah,Hialeah,0.233394,"City : Hialeah, Florida<br>UHS : 89.96110996174822<br>Population :0.233394 million"
28,"Shreveport, Louisiana",629791,270,2599065,89.82868839371082,32.52515,-93.75018,UHS : 89.82868839371082<br>Checkins :2.599065 million<br>Locations : 270,Shreveport,Shreveport,0.200327,"City : Shreveport, Louisiana<br>UHS : 89.82868839371082<br>Population :0.200327 million"
29,"Toledo, Ohio",845629,354,1675846,89.52218759957657,41.663940000000004,-83.55521,UHS : 89.52218759957657<br>Checkins :1.675846 million<br>Locations : 354,Toledo,Toledo,0.282313,"City : Toledo, Ohio<br>UHS : 89.52218759957657<br>Population :0.282313 million"
30,"Rochester Hills, Michigan",181557,282,374356,89.41301862398359,42.65837,-83.14993,UHS : 89.41301862398359<br>Checkins :0.374356 million<br>Locations : 282,Rochester Hills,Rochester Hills,0.072952,"City : Rochester Hills, Michigan<br>UHS : 89.41301862398359<br>Population :0.072952 million"
31,"Chandler, Arizona",789847,287,2459720,89.29922918055713,33.30616,-111.84125,UHS : 89.29922918055713<br>Checkins :2.45972 million<br>Locations : 287,Chandler,Chandler,0.249146,"City : Chandler, Arizona<br>UHS : 89.29922918055713<br>Population :0.249146 million"
32,"Farmington Hills, Michigan",185020,359,335453,89.17463847394419,42.48531,-83.37716,UHS : 89.17463847394419<br>Checkins :0.335453 million<br>Locations : 359,Farmington Hills,Farmington Hills,0.081295,"City : Farmington Hills, Michigan<br>UHS : 89.17463847394419<br>Population :0.081295 million"
33,"Clarksville, Tennessee",654359,306,1310626,89.14396631838525,36.52977,-87.35945,UHS : 89.14396631838525<br>Checkins :1.310626 million<br>Locations : 306,Clarksville,Clarksville,0.142357,"City : Clarksville, Tennessee<br>UHS : 89.14396631838525<br>Population :0.142357 million"
34,"Union City, California",220110,289,546577,89.08461204917148,54.68916,25.2798,UHS : 89.08461204917148<br>Checkins :0.546577 million<br>Locations : 289,Union City,Union City,0.072528,"City : Union City, California<br>UHS : 89.08461204917148<br>Population :0.072528 million"
36,"Suffolk, Virginia",220264,363,388993,89.00185864527124,42.35843,-71.05977,UHS : 89.00185864527124<br>Checkins :0.388993 million<br>Locations : 363,Suffolk,Suffolk,0.085728,"City : Suffolk, Virginia<br>UHS : 89.00185864527124<br>Population :0.085728 million"
37,"Gary, Indiana",228236,352,533586,88.97478569527686,41.59337,-87.34643,UHS : 88.97478569527686<br>Checkins :0.533586 million<br>Locations : 352,Gary,Gary,0.07845,"City : Gary, Indiana<br>UHS : 88.97478569527686<br>Population :0.07845 million"
38,"Moreno Valley, California",498497,294,926521,88.97434596733372,33.93752,-117.23058999999999,UHS : 88.97434596733372<br>Checkins :0.926521 million<br>Locations : 294,Moreno Valley,Moreno Valley,0.201175,"City : Moreno Valley, California<br>UHS : 88.97434596733372<br>Population :0.201175 million"
39,"Hampton, Virginia",472666,299,886286,88.84039689219958,37.02987,-76.34522,UHS : 88.84039689219958<br>Checkins :0.886286 million<br>Locations : 299,Hampton,Hampton,0.136699,"City : Hampton, Virginia<br>UHS : 88.84039689219958<br>Population :0.136699 million"
40,"Flower Mound, Texas",7054,132,46647,88.79670718374172,33.01457,-97.09696,UHS : 88.79670718374172<br>Checkins :0.046647 million<br>Locations : 132,Flower Mound,Flower Mound,0.068609,"City : Flower Mound, Texas<br>UHS : 88.79670718374172<br>Population :0.068609 million"
41,"Perris, California",257877,306,443131,88.64511848640696,33.78252,-117.22865,UHS : 88.64511848640696<br>Checkins :0.443131 million<br>Locations : 306,Perris,Perris,0.072326,"City : Perris, California<br>UHS : 88.64511848640696<br>Population :0.072326 million"
42,"Cranston, Rhode Island",235978,316,982109,88.62081500118623,41.77982,-71.43728,UHS : 88.62081500118623<br>Checkins :0.982109 million<br>Locations : 316,Cranston,Cranston,0.080566,"City : Cranston, Rhode Island<br>UHS : 88.62081500118623<br>Population :0.080566 million"
43,"Gilbert, Arizona",616291,278,2059428,88.56808783798222,33.35283,-111.78903000000001,UHS : 88.56808783798222<br>Checkins :2.059428 million<br>Locations : 278,Gilbert,Gilbert,0.229972,"City : Gilbert, Arizona<br>UHS : 88.56808783798222<br>Population :0.229972 million"
44,"Lincoln, Nebraska",939057,311,1940304,88.53092092785461,40.8,-96.66696,UHS : 88.53092092785461<br>Checkins :1.940304 million<br>Locations : 311,Lincoln,Lincoln,0.268738,"City : Lincoln, Nebraska<br>UHS : 88.53092092785461<br>Population :0.268738 million"
46,"Los Angeles, California",24298676,364,33860544,88.46581732413986,34.05223,-118.24368,UHS : 88.46581732413986<br>Checkins :33.860544 million<br>Locations : 364,Los Angeles,Los Angeles,3.884307,"City : Los Angeles, California<br>UHS : 88.46581732413986<br>Population :3.884307 million"
47,"Lake Charles, Louisiana",493994,318,1156617,88.43497890831622,30.21309,-93.2044,UHS : 88.43497890831622<br>Checkins :1.156617 million<br>Locations : 318,Lake Charles,Lake Charles,0.074024,"City : Lake Charles, Louisiana<br>UHS : 88.43497890831622<br>Population :0.074024 million"
48,"Des Moines, Iowa",958430,341,2655943,88.28506485267191,41.60054,-93.60911,UHS : 88.28506485267191<br>Checkins :2.655943 million<br>Locations : 341,Des Moines,Des Moines,0.20751,"City : Des Moines, Iowa<br>UHS : 88.28506485267191<br>Population :0.20751 million"
49,"Lynchburg, Virginia",395713,327,707517,88.1233949148925,37.41375,-79.14225,UHS : 88.1233949148925<br>Checkins :0.707517 million<br>Locations : 327,Lynchburg,Lynchburg,0.078014,"City : Lynchburg, Virginia<br>UHS : 88.1233949148925<br>Population :0.078014 million"
50,"Miami, Florida",9671632,302,14259391,88.06798971989758,25.77427,-80.19366,UHS : 88.06798971989758<br>Checkins :14.259391 million<br>Locations : 302,Miami,Miami,0.41765,"City : Miami, Florida<br>UHS : 88.06798971989758<br>Population :0.41765 million"
51,"Orlando, Florida",9070488,272,15657047,88.06596799511428,28.53834,-81.37924,UHS : 88.06596799511428<br>Checkins :15.657047 million<br>Locations : 272,Orlando,Orlando,0.255483,"City : Orlando, Florida<br>UHS : 88.06596799511428<br>Population :0.255483 million"
52,"West Jordan, Utah",62141,267,182627,87.91416384214821,40.60967,-111.9391,UHS : 87.91416384214821<br>Checkins :0.182627 million<br>Locations : 267,West Jordan,West Jordan,0.110077,"City : West Jordan, Utah<br>UHS : 87.91416384214821<br>Population :0.110077 million"
53,"Washington, District of Columbia",11855739,377,36994692,87.86965978795011,38.895109999999995,-77.03636999999999,UHS : 87.86965978795011<br>Checkins :36.994692 million<br>Locations : 377,Washington,Washington,0.646449,"City : Washington, District of Columbia<br>UHS : 87.86965978795011<br>Population :0.646449 million"
54,"Mesa, Arizona",1270355,329,2219123,87.71023507935341,33.422270000000005,-111.82263999999999,UHS : 87.71023507935341<br>Checkins :2.219123 million<br>Locations : 329,Mesa,Mesa,0.457587,"City : Mesa, Arizona<br>UHS : 87.71023507935341<br>Population :0.457587 million"
55,"Missouri City, Texas",93405,303,220625,87.66549575070822,39.09973,-94.57857,UHS : 87.66549575070822<br>Checkins :0.220625 million<br>Locations : 303,Missouri City,Missouri City,0.070185,"City : Missouri City, Texas<br>UHS : 87.66549575070822<br>Population :0.070185 million"
56,"Provo, Utah",634641,359,1331323,87.63072522595944,40.23384,-111.65853,UHS : 87.63072522595944<br>Checkins :1.331323 million<br>Locations : 359,Provo,Provo,0.116288,"City : Provo, Utah<br>UHS : 87.63072522595944<br>Population :0.116288 million"
57,"Tyler, Texas",531015,353,1200809,87.61859712910213,32.351259999999996,-95.30105999999999,UHS : 87.61859712910213<br>Checkins :1.200809 million<br>Locations : 353,Tyler,Tyler,0.100223,"City : Tyler, Texas<br>UHS : 87.61859712910213<br>Population :0.100223 million"
