Date,Open,High,Low,Close,Adj Close,Volume
2006-01-04,1163.878052,1181.004028,1161.906006,1180.963013,1180.963013,23200
2006-01-05,1183.305054,1197.837036,1180.451050,1197.269043,1197.269043,29400
2006-01-06,1198.811035,1215.536011,1191.614014,1209.421997,1209.421997,34400
2006-01-09,1210.319946,1217.313965,1205.248047,1215.667969,1215.667969,28800
2006-01-10,1215.848022,1220.755981,1203.651001,1220.618042,1220.618042,26800
2006-01-11,1219.811035,1223.558960,1204.041016,1211.052979,1211.052979,30600
2006-01-12,1208.765991,1227.302002,1205.282959,1226.703979,1226.703979,27000
2006-01-13,1228.156982,1231.223022,1214.880981,1221.458984,1221.458984,27800
2006-01-16,1221.109985,1221.385986,1202.587036,1202.869019,1202.869019,25200
2006-01-17,1200.255005,1209.024048,1198.838989,1208.437988,1208.437988,19800
2006-01-18,1207.525024,1234.529053,1206.359009,1233.349976,1233.349976,26600
2006-01-19,1235.083008,1251.957031,1230.849976,1251.576050,1251.576050,33600
2006-01-20,1251.409058,1258.697998,1247.204956,1255.307983,1255.307983,33200
2006-01-23,1254.776978,1257.347046,1244.274048,1255.774048,1255.774048,29000
2006-01-24,1256.005005,1262.087036,1247.006958,1252.062012,1252.062012,29600
2006-01-25,1251.269043,1260.173950,1245.916016,1258.046021,1258.046021,26600
2006-02-06,1263.003052,1287.665039,1263.003052,1287.625977,1287.625977,29200
2006-02-07,1289.453003,1297.404053,1270.404053,1282.095947,1282.095947,38400
2006-02-08,1282.120972,1291.737061,1276.020020,1290.055054,1290.055054,32800
2006-02-09,1288.965942,1288.965942,1266.811035,1269.453979,1269.453979,29000
2006-02-10,1269.536011,1284.095947,1266.224976,1282.656006,1282.656006,26400
2006-02-13,1283.776001,1284.951050,1267.561035,1279.640015,1279.640015,26200
2006-02-14,1279.626953,1286.421021,1275.849976,1286.327026,1286.327026,22600
2006-02-15,1289.137939,1300.994995,1288.636963,1299.166016,1299.166016,30200
2006-02-16,1298.496948,1298.496948,1268.563965,1270.633057,1270.633057,32400
2006-02-17,1269.400024,1280.041016,1265.140991,1267.407959,1267.407959,26000
2006-02-20,1268.107056,1279.422974,1265.380005,1267.541992,1267.541992,21600
2006-02-21,1266.645020,1288.546021,1256.807983,1288.418945,1288.418945,26600
2006-02-22,1288.853027,1297.938965,1282.910034,1284.225952,1284.225952,28600
2006-02-23,1284.130005,1289.942993,1273.942017,1288.847046,1288.847046,22800
2006-02-24,1289.433960,1297.343018,1286.962036,1296.865967,1296.865967,23600
2006-02-27,1297.687012,1304.613037,1293.467041,1297.186035,1297.186035,26800
2006-02-28,1294.807007,1299.473022,1277.740967,1299.030029,1299.030029,23600
2006-03-01,1299.154053,1308.196045,1297.762939,1306.586060,1306.586060,23600
2006-03-02,1306.584961,1307.639038,1281.571045,1285.666016,1285.666016,28400
2006-03-03,1284.605957,1295.411011,1275.624023,1293.296997,1293.296997,25000
2006-03-06,1292.746948,1296.847046,1286.644043,1288.954956,1288.954956,20400
2006-03-07,1288.255005,1288.255005,1257.540039,1259.916016,1259.916016,22600
2006-03-08,1256.685059,1258.239014,1238.156006,1250.384033,1250.384033,19800
2006-03-09,1247.462036,1253.758057,1242.681030,1245.166016,1245.166016,15400
2006-03-10,1245.187988,1253.911011,1240.750977,1245.652954,1245.652954,14000
2006-03-13,1245.300049,1260.071045,1245.300049,1259.673950,1259.673950,13800
2006-03-14,1260.421997,1262.751953,1250.276978,1259.043945,1259.043945,14800
2006-03-15,1259.230957,1275.515015,1258.145996,1274.812012,1274.812012,18400
2006-03-16,1274.614990,1277.193970,1270.831055,1274.189941,1274.189941,18400
2006-03-17,1273.010010,1276.628052,1265.605957,1269.462036,1269.462036,18800
2006-03-20,1269.581055,1288.970947,1264.410034,1288.417969,1288.417969,20200
2006-03-21,1288.555054,1297.608032,1285.431030,1290.395020,1290.395020,24400
2006-03-22,1289.461060,1296.911987,1281.128052,1296.706055,1296.706055,22400
2006-03-23,1296.193970,1302.791016,1289.525024,1302.457031,1302.457031,25400
2006-03-24,1302.140991,1308.057007,1293.296021,1294.703979,1294.703979,24400
2006-03-27,1296.066040,1296.593018,1283.682007,1295.915039,1295.915039,20600
2006-03-28,1295.760010,1302.647949,1293.000000,1298.791016,1298.791016,25000
2006-03-29,1299.383057,1313.125000,1296.589966,1305.567017,1305.567017,34200
2006-03-30,1305.843018,1308.495972,1293.828979,1294.718018,1294.718018,26000
2006-03-31,1291.517944,1298.750977,1285.734985,1298.295044,1298.295044,26600
2006-04-03,1298.683960,1319.484985,1298.683960,1319.470947,1319.470947,32800
2006-04-04,1319.837036,1330.104980,1315.331055,1329.797974,1329.797974,37200
2006-04-05,1330.561035,1341.504028,1326.532959,1340.161987,1340.161987,37800
2006-04-06,1341.735962,1348.520020,1336.137939,1339.737061,1339.737061,41800
2006-04-07,1340.645996,1345.291016,1330.512939,1342.964966,1342.964966,40600
2006-04-10,1344.239014,1359.407959,1339.522949,1359.081055,1359.081055,41400
2006-04-11,1360.978027,1366.522949,1350.322998,1362.229004,1362.229004,43800
2006-04-12,1361.740967,1364.691040,1355.655029,1360.131958,1360.131958,37200
2006-04-13,1359.277954,1364.316040,1331.682007,1332.329956,1332.329956,41200
2006-04-14,1330.094971,1360.093994,1328.435059,1359.537964,1359.537964,37800
2006-04-17,1360.644043,1383.654053,1353.395996,1378.614014,1378.614014,42200
2006-04-18,1379.812988,1391.378052,1370.152954,1385.114014,1385.114014,36800
2006-04-19,1389.134033,1399.546997,1378.796021,1396.702026,1396.702026,40600
2006-04-20,1398.098022,1404.192017,1376.961060,1385.900024,1385.900024,43400
2006-04-21,1385.922974,1419.890991,1383.449951,1416.792969,1416.792969,45600
2006-04-24,1423.409058,1429.056030,1402.269043,1409.786011,1409.786011,52000
2006-04-25,1405.897949,1409.274048,1386.125977,1399.766968,1399.766968,43200
2006-04-26,1399.067993,1426.625977,1397.348999,1417.477051,1417.477051,48400
