0.690362824,0.562283747,0.671938559,0.646662042,0.612427701
0.840954195,0.712533168,0.822515476,0.797210993,0.762944067
0.9107623,0.795085479,0.894159769,0.871382517,0.840537085
0.894109504,0.807177197,0.881628395,0.864499034,0.841304893
0.793904645,0.752534111,0.787932346,0.779733856,0.768635999
0.621571012,0.640480524,0.624204547,0.627813524,0.632708617
0.395966038,0.484908546,0.408592942,0.425910068,0.44937449
0.141323101,0.3032183,0.16435414,0.195947515,0.238747014
-0.115463253,0.115181867,-0.08262963,-0.037588602,0.02342601
-0.347775359,-0.058467622,-0.306580907,-0.250068702,-0.173516973
-0.532017221,-0.197878839,-0.484432581,-0.419157876,-0.330735477
-0.649811146,-0.286272598,-0.598039439,-0.527015944,-0.43080623
-0.689534586,-0.312162869,-0.635788438,-0.562056328,-0.462175942
-0.64711837,-0.271102131,-0.593557115,-0.520078243,-0.420544255
-0.52628357,-0.1664844,-0.475021523,-0.404699373,-0.309438009
-0.338227009,-0.00914049,-0.291328708,-0.226991227,-0.139839395
-0.100755017,0.184184065,-0.060135563,-0.004413137,0.071070457
0.163111776,0.393089324,0.195907147,0.240895331,0.301839883
0.427159022,0.595983317,0.451243344,0.484279347,0.529034878
0.664519382,0.772270027,0.679896506,0.700991062,0.729566633
0.850496943,0.904021007,0.858141749,0.868618493,0.882823629
0.96531401,0.977160962,0.967006637,0.969319332,0.972466789
0.996342947,0.98232628,0.994333323,0.991569726,0.987835638
0.939466566,0.915601697,0.936035786,0.931319317,0.924945191
0.799378221,0.779188566,0.796446028,0.792416475,0.78696186
0.588833584,0.581786162,0.587740116,0.586236223,0.584203463
0.327125412,0.338328308,0.328593489,0.330604391,0.333332699
0.038023351,0.068937729,0.042256376,0.048062127,0.055929412
-0.252469111,-0.203112556,-0.245653194,-0.236302799,-0.223635158
-0.518393297,-0.454095893,-0.509490773,-0.497277702,-0.480732781
-0.736035978,-0.662711831,-0.725881319,-0.711956796,-0.693092584
-0.885983163,-0.81256265,-0.875847838,-0.861942312,-0.843113366
