11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
1342-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1661-0.txt        NaN  0.000009       NaN       NaN  0.000028  0.000009   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000023       NaN  0.000045  0.000023       NaN       NaN   

                 1876      1877      1878      1881      1882      1883  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
1342-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1661-0.txt        NaN       NaN  0.000009       NaN       NaN  0.000018   
1952-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
pg16328.txt  0.000023  0.000023       NaN  0.000045  0.000023  0.000023   

                 1884      1887      1888      1890      1892      1896  \
11-0.txt          NaN  0.000034       NaN       NaN       NaN       NaN   
84-0.txt          NaN  0.000013       NaN       NaN       NaN       NaN   
1342-0.txt        NaN  0.000008       NaN       NaN       NaN       NaN   
1661-0.txt   0.000009  0.000018  0.000009  0.000018       NaN       NaN   
1952-0.txt        NaN  0.000108       NaN       NaN       NaN       NaN   
pg16328.txt       NaN  0.000023  0.000068       NaN  0.000023  0.000023   

                 18th        19      1924       194      1952      1978  \
11-0.txt          NaN       NaN       NaN       NaN       NaN       NaN   
84-0.txt     0.000026  0.000026       NaN       NaN       NaN       NaN   
1342-0.txt   0.000008  0.000008       NaN       NaN       NaN       NaN   
1661-0.txt        NaN       NaN       NaN       NaN       NaN       NaN   
1952-0.txt        NaN       NaN       NaN       NaN  0.000324       NaN   
pg16328.txt       NaN  0.000429  0.000023  0.000045       NaN  0.000023   

                 1981      1994      1997      1998      19th        1a  \
11-0.txt          NaN  0.000034       NaN       NaN       NaN  0.000034   
84-0.txt          NaN       NaN       NaN       NaN  0.000013  0.000013   
1342-0.txt        NaN       NaN       NaN  0.000008       NaN  0.000008   
1661-0.txt        NaN       NaN       NaN       NaN  0.000009  0.000009   
1952-0.txt        NaN       NaN       NaN       NaN       NaN  0.000108   
pg16328.txt  0.000023       NaN  0.000045       NaN       NaN  0.000023   

                   1b        1c        1d        1e       1e1       1e2  \
11-0.txt     0.000034  0.000067  0.000034  0.000067  0.000168  0.000034   
84-0.txt     0.000013  0.000026  0.000013  0.000026  0.000064  0.000013   
1342-0.txt   0.000008  0.000016  0.000008  0.000016  0.000040  0.000008   
1661-0.txt   0.000009  0.000018  0.000009  0.000018  0.000046  0.000009   
1952-0.txt   0.000108  0.000216  0.000108  0.000216  0.000541  0.000108   
pg16328.txt  0.000023  0.000045  0.000023  0.000045  0.000113  0.000023   

                  1e3       1e4       1e5       1e6       1e7       1e8  \
11-0.txt     0.000034  0.000034  0.000034  0.000034  0.000101  0.000134   
84-0.txt     0.000013  0.000013  0.000013  0.000013  0.000038  0.000051   
1342-0.txt   0.000008  0.000008  0.000008  0.000008  0.000024  0.000032   
1661-0.txt   0.000009  0.000009  0.000009  0.000009  0.000028  0.000037   
1952-0.txt   0.000108  0.000108  0.000108  0.000108  0.000324  0.000433   
pg16328.txt  0.000023  0.000023  0.000023  0.000023  0.000068  0.000090   

                  1e9        1f       1f1       1f2       1f3       1f4  \
11-0.txt     0.000101  0.000034  0.000034  0.000034  0.000134  0.000034   
84-0.txt     0.000038  0.000013  0.000013  0.000013  0.000051  0.000013   
1342-0.txt   0.000024  0.000008  0.000008  0.000008  0.000032  0.000008   
1661-0.txt   0.000028  0.000009  0.000009  0.000009  0.000046  0.000009   
1952-0.txt   0.000324  0.000108  0.000108  0.000108  0.000433  0.000108   
pg16328.txt  0.000068  0.000023  0.000023  0.000023  0.000090  0.000023   

                  1f5       1f6     1firm       1he   1shield     1that  \
11-0.txt     0.000034  0.000034       NaN       NaN       NaN       NaN   
84-0.txt     0.000013  0.000013       NaN       NaN       NaN       NaN   
1342-0.txt   0.000008  0.000008       NaN       NaN       NaN       NaN   
1661-0.txt   0.000009  0.000009       NaN       NaN       NaN       NaN   
1952-0.txt   0.000108  0.000108       NaN       NaN       NaN       NaN   
pg16328.txt  0.000023  0.000023  0.000023  0.000023  0.000023  0.000023   

                    2        20       200      2000      2001      2002  \
11-0.txt     0.000034  0.000034       NaN       NaN  0.000034       NaN   
84-0.txt     0.000064  0.000038       NaN       NaN  0.000013       NaN   
1342-0.txt   0.000024  0.000016       NaN       NaN  0.000008       NaN   
1661-0.txt   0.000055  0.000018  0.000009  0.000009  0.000009  0.000009   
1952-0.txt   0.000108  0.000108       NaN       NaN  0.000108       NaN   
