parent_aggr,Volume_Name,Avg_total_ops_All_Hrs,%_Of_total_ops_All_Hrs,Avg_total_ops_Biz_Hrs,%_Of_total_ops_Biz_Hrs,Avg_total_ops_After_Hrs,%_Of_total_ops_After_Hrs
mtcntap01_01_tier01_aggr01,mtcntap01-01:mtcntap01_01_tier01_aggr01:temp__1227__3625__C1026REP002_M001,33.868574075733335,0.05936277095028963,3.0955092596666667,0.004636938499989176,54.38395061977778,0.1075117468650043
mtcntap01_06_root,aus-mel-a700-02:mtcntap01_06_root:vol0,33.781577061096776,100.0,32.76769736894737,100.0,34.7569549927848,100.00000000000001
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:C1034REP002_S003,33.53425983207444,0.3851055420904947,34.4950552245874,0.3972593491476267,32.70658669274097,0.37469051319293006
prtntap01_04_tier03_aggr01,prtntap01-04:prtntap01_04_tier03_aggr01:C1036FSS1_S001,33.43074495009414,2.173021909123906,41.774893163846144,2.658896113578281,26.1991498315091,1.7349143431446445
prtntap01_04_tier03_aggr01,prtntap01-04:prtntap01_04_tier03_aggr01:LOW_STORAGE_301,31.79254599551948,2.0665378261305776,31.78203379909092,2.0228687556082345,31.801656565757586,2.105913759283038
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:STANDARD_STORAGE_301_REPLICA,30.38816663396992,0.33613781325758096,32.94873002815032,0.3839667112122753,28.199528648999987,0.29894771932278635
mtcntap01_03_tier02_aggr01,mtcntap01-03:mtcntap01_03_tier02_aggr01:C1064_JOURNAL_001,29.96841205855421,0.21390364570028236,31.937703341045754,0.23402543413834329,28.285163085251398,0.19751346916523446
mtcntap01_04_tier02_aggr01,mtcntap01-04:mtcntap01_04_tier02_aggr01:C1045REP001_M002,29.914968178802585,0.29161221847522045,31.207589420559437,0.2791281391733385,28.80144506090361,0.3043165666858386
mtcntap01_03_tier02_aggr01,mtcntap01-03:mtcntap01_03_tier02_aggr01:C1034REP002_M005,29.159543845391532,0.20813023804196154,19.936964413836606,0.14608930086567828,37.042530733815646,0.25866560252257137
prtntap01_03_tier02_aggr01,prtntap01-03:prtntap01_03_tier02_aggr01:MTC_MGMT02_REPLICA,25.356501623311676,0.2507784652382071,27.09828088573426,0.2696227265514638,23.84695959587879,0.23462875705619984
prtntap01_04_tier03_aggr01,prtntap01-04:prtntap01_04_tier03_aggr01:PRT_MGMT02,25.247395382532478,1.6410984378737967,27.37847125111888,1.7425899934632514,23.40046296309091,1.5495845892703524
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:STANDARD_STORAGE_302_REPLICA,24.737669876051175,0.27363500922521655,21.580660856660142,0.25148937054143733,27.436118926145248,0.29085469059181296
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:C1032REP003_S002,24.72487075760843,0.2734934321522463,18.719104030633996,0.21814233220346294,29.858291479547475,0.3165325297379479
prtntap01_03_tier03_aggr01,prtntap01-03:prtntap01_03_tier03_aggr01:LOW_STORAGE_401,24.41051767701299,0.38244830996282664,23.370031080069936,0.39437334735879,25.312272727696964,0.3734134303732086
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:C1000_MGMT01,23.55268481310241,0.2605273317335041,23.868713688758174,0.2781531029605631,23.28255957301676,0.24682214270262606
prtntap01_04_tier03_aggr01,prtntap01-04:prtntap01_04_tier03_aggr01:C1034_MGMT01,23.40400162337662,1.5212765484194106,25.489372572027964,1.6223522919256264,21.596680134545448,1.4301376331176812
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:C1034REP002_AR01,23.237283768660188,0.2668556517201339,30.084549607139852,0.3464661389442613,17.338735486114455,0.19863459793102123
prtntap01_03_tier03_aggr01,prtntap01-03:prtntap01_03_tier03_aggr01:MTC_MGMT01_REPLICA,22.240702561493517,0.34845304059401405,23.489413364335675,0.3963879442114817,21.158486532363618,0.31213566330256964
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:C1027REP004_AR001,21.113809092551197,0.2335497795373586,29.153100036366002,0.33973448849294896,14.242236386385468,0.15098422880614087
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:C1027_MGMT01,21.06028207807229,0.23295769203784375,21.847109658627463,0.25459442102776675,20.387742302513978,0.21613372121712335
mtcntap01_05_ssd,aus-mel-a700-01:mtcntap01_05_ssd:temp__1130__3710__C1027REP004_S002,18.584873188173916,0.3710391350237806,24.483169192636353,0.524524479469355,13.178101850749995,0.24763316440621663
prtntap01_04_tier03_aggr01,prtntap01-04:prtntap01_04_tier03_aggr01:C1024_MGMT01,17.857169913311694,1.1607285902393651,17.957571872517484,1.1429668503009374,17.770154881999996,1.1767441608966058
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:MTC_OFFLOAD01,17.507967809789147,0.19366387202799848,17.843118191764702,0.20793406616917867,17.221498488882688,0.1825678634793373
prtntap01_04_tier03_aggr01,prtntap01-04:prtntap01_04_tier03_aggr01:PRT_DEVTEST01,16.59755411243504,1.078852678216773,16.580924630769236,1.0553457524684116,16.611966329878797,1.1000486213824041
mtcntap01_03_tier03_aggr01,mtcntap01-03:mtcntap01_03_tier03_aggr01:C1030_MGMT01,15.770929356716863,0.1744496721654986,15.714577886993464,0.1831292066250469,15.81909569675978,0.1677007668872133
mtcntap01_03_tier02_aggr01,mtcntap01-03:mtcntap01_03_tier02_aggr01:MTC_DR01_TIER2_4,14.97026545966868,0.10685232012518682,15.476658496934636,0.11340614210982314,14.53742671831843,0.10151391297325174
mtcntap01_04_tier03_aggr01,mtcntap01-04:mtcntap01_04_tier03_aggr01:C1034REP002_S005,14.796993611488679,0.1699278372207158,10.127872930139862,0.11663678119319064,18.819187933373485,0.21559483570919113
mtcntap01_03_tier02_aggr01,mtcntap01-03:mtcntap01_03_tier02_aggr01:C1064_DR_MGMT01,14.257982266644587,0.10176830127690081,14.037003449516344,0.10285698352181268,14.44686360195531,0.10088151657386092
prtntap01_03_tier03_aggr01,prtntap01-03:prtntap01_03_tier03_aggr01:C1036FS003,12.841506132545451,0.2011924688673889,12.78182983667132,0.21569560608575108,12.893225588969695,0.19020431896993292
mtcntap01_01_tier01_aggr01,mtcntap01-01:mtcntap01_01_tier01_aggr01:MTC_OFFLOAD03,12.826962851524103,0.4976086417758226,13.442875180857147,0.516845649517896,12.294094881202245,0.4806835045787754
