FolderName,MolFileName,CompoundId,CompundFormula,Inchi,InchiKey,CIDSmiles,Isomericsmiles,URL
_C06804_2.1.1.94,_C06804_2.1.1.94_product_1.mol,5827,C9H11NO2,"InChI=1S/C9H11NO2/c1-7(11)10-8-3-5-9(12-2)6-4-8/h3-6H,1-2H3,(H,10,11)",XVAIDCNLVLTVFM-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC,CC(=O)NC1=CC=C(C=C1)OC,https://pubchem.ncbi.nlm.nih.gov/compound/5827
_C06804_2.4.1.218,_C06804_2.4.1.218_product_1.mol,22174376,C14H19NO7,"InChI=1S/C14H19NO7/c1-7(17)15-8-2-4-9(5-3-8)21-14-13(20)12(19)11(18)10(6-16)22-14/h2-5,10-14,16,18-20H,6H2,1H3,(H,15,17)",DCCJHZKQNIFNNA-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)CO)O)O)O,CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)CO)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/22174376
_C06804_1.14.12.5,_C06804_1.14.12.5_product_1.mol,977,O2,InChI=1S/O2/c1-2,MYMOFIZGZYHOMD-UHFFFAOYSA-N,O=O,O=O,https://pubchem.ncbi.nlm.nih.gov/compound/977
_C06804_1.7.1.12,_C06804_1.7.1.12_product_1.mol,45750,C8H9NO3,"InChI=1S/C8H9NO3/c1-6(10)9(12)7-2-4-8(11)5-3-7/h2-5,11-12H,1H3",CCYHKRWGLAJQTB-UHFFFAOYSA-N,CC(=O)N(C1=CC=C(C=C1)O)O,CC(=O)N(C1=CC=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/45750
_C06804_2.5.1.93,_C06804_2.5.1.93_product_1.mol,,,,,,,
_C06804_2.5.1.93,_C06804_2.5.1.93_product_2.mol,,,,,,,
_C06804_1.14.13.7,_C06804_1.14.13.7_product_1.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
_C06804_1.14.13.7,_C06804_1.14.13.7_product_2.mol,161950,C8H9NO3,"InChI=1S/C8H9NO3/c1-5(10)9-6-2-3-7(11)8(12)4-6/h2-4,11-12H,1H3,(H,9,10)",IPFBMHOMTSBTSU-UHFFFAOYSA-N,CC(=O)NC1=CC(=C(C=C1)O)O,CC(=O)NC1=CC(=C(C=C1)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/161950
_C06804_1.22.1.1,_C06804_1.22.1.1_product_1.mol,,,,,,,
_C06804_1.22.1.1,_C06804_1.22.1.1_product_2.mol,,,,,,,
