,imdb_id,production_co,genre,date,occurences
106,tt0386676,NBC Universal,Comedy,2017-07-16,5838
107,tt0386676,NBC Universal,Comedy,2017-07-18,6122
108,tt0386676,NBC Universal,Comedy,2017-07-17,6801
109,tt0386676,NBC Universal,Comedy,2017-07-20,5830
110,tt0386676,NBC Universal,Comedy,2017-07-19,6014
111,tt0386676,NBC Universal,Comedy,2017-07-21,5645
112,tt0386676,NBC Universal,Comedy,2017-07-22,6454
113,tt0386676,NBC Universal,Comedy,2017-07-23,6596
114,tt0386676,NBC Universal,Comedy,2017-07-24,6847
115,tt0386676,NBC Universal,Comedy,2017-07-25,5222
116,tt0386676,NBC Universal,Comedy,2017-07-27,6525
117,tt0386676,NBC Universal,Comedy,2017-07-26,6477
118,tt0386676,NBC Universal,Comedy,2017-07-29,5563
119,tt0386676,NBC Universal,Comedy,2017-07-28,6193
120,tt0386676,NBC Universal,Comedy,2017-07-30,6711
121,tt0386676,NBC Universal,Comedy,2017-08-02,5997
122,tt0386676,NBC Universal,Comedy,2017-08-01,6276
123,tt0386676,NBC Universal,Comedy,2017-07-31,7183
124,tt0386676,NBC Universal,Comedy,2017-08-03,5322
125,tt0386676,NBC Universal,Comedy,2017-08-05,6173
126,tt0386676,NBC Universal,Comedy,2017-08-04,6353
127,tt0386676,NBC Universal,Comedy,2017-08-06,6630
128,tt0386676,NBC Universal,Comedy,2017-08-07,6952
129,tt0386676,NBC Universal,Comedy,2017-08-08,6176
130,tt0386676,NBC Universal,Comedy,2017-08-10,6015
131,tt0386676,NBC Universal,Comedy,2017-08-09,5976
132,tt0386676,NBC Universal,Comedy,2017-08-11,5570
133,tt0386676,NBC Universal,Comedy,2017-08-12,5812
134,tt0386676,NBC Universal,Comedy,2017-08-14,5724
135,tt0386676,NBC Universal,Comedy,2017-08-13,6309
136,tt0386676,NBC Universal,Comedy,2017-08-15,6148
137,tt0386676,NBC Universal,Comedy,2017-08-16,6516
138,tt0386676,NBC Universal,Comedy,2017-08-17,6601
139,tt0386676,NBC Universal,Comedy,2017-08-19,5908
140,tt0386676,NBC Universal,Comedy,2017-08-18,5677
141,tt0386676,NBC Universal,Comedy,2017-08-20,6422
142,tt0386676,NBC Universal,Comedy,2017-08-23,4909
143,tt0386676,NBC Universal,Comedy,2017-08-22,5595
144,tt0386676,NBC Universal,Comedy,2017-08-21,6173
145,tt0386676,NBC Universal,Comedy,2017-08-24,4813
146,tt0386676,NBC Universal,Comedy,2017-08-25,6032
147,tt0386676,NBC Universal,Comedy,2017-08-26,5632
148,tt0386676,NBC Universal,Comedy,2017-08-27,5818
149,tt0386676,NBC Universal,Comedy,2017-08-28,6497
150,tt0386676,NBC Universal,Comedy,2017-08-29,5603
151,tt0386676,NBC Universal,Comedy,2017-08-30,5883
152,tt0386676,NBC Universal,Comedy,2017-09-01,6183
153,tt0386676,NBC Universal,Comedy,2017-08-31,5960
154,tt0386676,NBC Universal,Comedy,2017-09-02,5805
155,tt0386676,NBC Universal,Comedy,2017-09-04,6148
156,tt0386676,NBC Universal,Comedy,2017-09-03,6585
157,tt0386676,NBC Universal,Comedy,2017-09-05,5853
158,tt0386676,NBC Universal,Comedy,2017-09-07,5960
159,tt0386676,NBC Universal,Comedy,2017-09-06,5838
160,tt0386676,NBC Universal,Comedy,2017-09-08,5883
161,tt0386676,NBC Universal,Comedy,2017-09-10,6100
162,tt0386676,NBC Universal,Comedy,2017-09-09,5484
163,tt0386676,NBC Universal,Comedy,2017-09-11,5378
164,tt0386676,NBC Universal,Comedy,2017-09-13,5673
165,tt0386676,NBC Universal,Comedy,2017-09-12,5836
166,tt0386676,NBC Universal,Comedy,2017-09-14,5415
167,tt0386676,NBC Universal,Comedy,2017-09-16,5713
168,tt0386676,NBC Universal,Comedy,2017-09-15,5844
169,tt0386676,NBC Universal,Comedy,2017-09-17,2999
170,tt0386676,NBC Universal,Comedy,2017-09-19,5704
171,tt0386676,NBC Universal,Comedy,2017-09-18,6066
172,tt0386676,NBC Universal,Comedy,2017-09-20,5588
173,tt0386676,NBC Universal,Comedy,2017-09-21,5595
174,tt0386676,NBC Universal,Comedy,2017-09-22,5609
175,tt0386676,NBC Universal,Comedy,2017-09-23,5796
