,imdb_id,production_co,genre,date,occurences
0,tt5753856,Netflix,Crime,2017-12-01,622
1,tt5753856,Netflix,Crime,2017-12-02,1396
2,tt5753856,Netflix,Crime,2017-12-03,2854
3,tt5753856,Netflix,Crime,2017-12-05,19062
4,tt5753856,Netflix,Crime,2017-12-04,3822
5,tt5753856,Netflix,Crime,2017-12-06,25446
6,tt5753856,Netflix,Crime,2017-12-07,27764
7,tt5753856,Netflix,Crime,2017-12-08,29936
8,tt5753856,Netflix,Crime,2017-12-09,32511
9,tt5753856,Netflix,Crime,2017-12-11,35021
10,tt5753856,Netflix,Crime,2017-12-10,35928
11,tt5753856,Netflix,Crime,2017-12-13,35440
12,tt5753856,Netflix,Crime,2017-12-14,35496
13,tt5753856,Netflix,Crime,2017-12-12,35699
14,tt5753856,Netflix,Crime,2017-12-16,38597
15,tt5753856,Netflix,Crime,2017-12-17,40913
16,tt5753856,Netflix,Crime,2017-12-15,36455
17,tt5753856,Netflix,Crime,2017-12-18,37680
18,tt5753856,Netflix,Crime,2017-12-19,38671
19,tt5753856,Netflix,Crime,2017-12-20,35652
20,tt5753856,Netflix,Crime,2017-12-22,35482
21,tt5753856,Netflix,Crime,2017-12-23,39553
22,tt5753856,Netflix,Crime,2017-12-21,37394
23,tt5753856,Netflix,Crime,2017-12-24,36729
24,tt5753856,Netflix,Crime,2017-12-25,35319
25,tt5753856,Netflix,Crime,2017-12-26,38622
26,tt5753856,Netflix,Crime,2017-12-27,38935
27,tt5753856,Netflix,Crime,2017-12-28,38700
28,tt5753856,Netflix,Crime,2017-12-29,38454
29,tt5753856,Netflix,Crime,2017-12-31,37142
30,tt5753856,Netflix,Crime,2018-01-01,38414
31,tt5753856,Netflix,Crime,2017-12-30,38395
32,tt5753856,Netflix,Crime,2018-01-04,41332
33,tt5753856,Netflix,Crime,2018-01-02,41485
34,tt5753856,Netflix,Crime,2018-01-03,40341
35,tt5753856,Netflix,Crime,2018-01-05,36764
36,tt5753856,Netflix,Crime,2018-01-06,41645
37,tt5753856,Netflix,Crime,2018-01-07,40915
38,tt5753856,Netflix,Crime,2018-01-09,36138
39,tt5753856,Netflix,Crime,2018-01-08,39210
40,tt5753856,Netflix,Crime,2018-01-10,36943
41,tt5753856,Netflix,Crime,2018-01-11,35588
42,tt5753856,Netflix,Crime,2018-01-12,36792
43,tt5753856,Netflix,Crime,2018-01-13,37821
44,tt5753856,Netflix,Crime,2018-01-14,39762
45,tt5753856,Netflix,Crime,2018-01-16,34572
46,tt5753856,Netflix,Crime,2018-01-15,35474
47,tt5753856,Netflix,Crime,2018-01-17,34942
48,tt5753856,Netflix,Crime,2018-01-18,34163
49,tt5753856,Netflix,Crime,2018-01-19,35101
50,tt5753856,Netflix,Crime,2018-01-20,36079
51,tt5753856,Netflix,Crime,2018-01-22,34601
52,tt5753856,Netflix,Crime,2018-01-21,35867
53,tt5753856,Netflix,Crime,2018-01-24,30665
54,tt5753856,Netflix,Crime,2018-01-25,29691
55,tt5753856,Netflix,Crime,2018-01-23,32847
56,tt5753856,Netflix,Crime,2018-01-26,30851
57,tt5753856,Netflix,Crime,2018-01-27,30947
58,tt5753856,Netflix,Crime,2018-01-28,32456
59,tt5753856,Netflix,Crime,2018-01-31,29017
60,tt5753856,Netflix,Crime,2018-01-29,30293
61,tt5753856,Netflix,Crime,2018-01-30,30210
62,tt5753856,Netflix,Crime,2018-02-01,28219
63,tt5753856,Netflix,Crime,2018-02-02,28542
64,tt5753856,Netflix,Crime,2018-02-03,29423
65,tt5753856,Netflix,Crime,2018-02-06,26714
66,tt5753856,Netflix,Crime,2018-02-05,28777
67,tt5753856,Netflix,Crime,2018-02-04,30855
68,tt5753856,Netflix,Crime,2018-02-09,26341
69,tt5753856,Netflix,Crime,2018-02-07,27378
70,tt5753856,Netflix,Crime,2018-02-08,26726
71,tt5753856,Netflix,Crime,2018-02-10,27451
72,tt5753856,Netflix,Crime,2018-02-11,29449
73,tt5753856,Netflix,Crime,2018-02-12,26312
74,tt5753856,Netflix,Crime,2018-02-15,24393
75,tt5753856,Netflix,Crime,2018-02-14,26247
76,tt5753856,Netflix,Crime,2018-02-13,26690
