,imdb_id,production_co,genre,date,occurences
0,tt0092455,Syndication,Action,2017-04-01,439
1,tt0092455,Syndication,Action,2017-04-03,627
2,tt0092455,Syndication,Action,2017-04-02,599
3,tt0092455,Syndication,Action,2017-04-01,439
4,tt0092455,Syndication,Action,2017-04-04,554
5,tt0092455,Syndication,Action,2017-04-05,390
6,tt0092455,Syndication,Action,2017-04-06,602
7,tt0092455,Syndication,Action,2017-04-07,554
8,tt0092455,Syndication,Action,2017-04-08,538
9,tt0092455,Syndication,Action,2017-04-09,510
10,tt0092455,Syndication,Action,2017-04-10,264
11,tt0092455,Syndication,Action,2017-04-12,537
12,tt0092455,Syndication,Action,2017-04-11,607
13,tt0092455,Syndication,Action,2017-04-13,397
14,tt0092455,Syndication,Action,2017-04-14,467
15,tt0092455,Syndication,Action,2017-04-15,433
16,tt0092455,Syndication,Action,2017-04-16,401
17,tt0092455,Syndication,Action,2017-04-18,589
18,tt0092455,Syndication,Action,2017-04-17,587
19,tt0092455,Syndication,Action,2017-04-19,547
20,tt0092455,Syndication,Action,2017-04-20,397
21,tt0092455,Syndication,Action,2017-04-21,542
22,tt0092455,Syndication,Action,2017-04-22,575
23,tt0092455,Syndication,Action,2017-04-23,438
24,tt0092455,Syndication,Action,2017-04-24,618
25,tt0092455,Syndication,Action,2017-04-25,166
26,tt0092455,Syndication,Action,2017-04-26,528
27,tt0092455,Syndication,Action,2017-04-27,532
28,tt0092455,Syndication,Action,2017-04-30,192
29,tt0092455,Syndication,Action,2017-04-28,359
30,tt0092455,Syndication,Action,2017-04-29,542
31,tt0092455,Syndication,Action,2017-05-01,616
32,tt0092455,Syndication,Action,2017-05-02,557
33,tt0092455,Syndication,Action,2017-05-03,445
34,tt0092455,Syndication,Action,2017-05-04,541
35,tt0092455,Syndication,Action,2017-05-05,362
36,tt0092455,Syndication,Action,2017-05-06,410
37,tt0092455,Syndication,Action,2017-05-07,445
38,tt0092455,Syndication,Action,2017-05-08,452
39,tt0092455,Syndication,Action,2017-05-09,579
40,tt0092455,Syndication,Action,2017-05-10,355
41,tt0092455,Syndication,Action,2017-05-11,445
42,tt0092455,Syndication,Action,2017-05-12,322
43,tt0092455,Syndication,Action,2017-05-13,534
44,tt0092455,Syndication,Action,2017-05-14,350
45,tt0092455,Syndication,Action,2017-05-15,540
46,tt0092455,Syndication,Action,2017-05-17,264
47,tt0092455,Syndication,Action,2017-05-16,539
48,tt0092455,Syndication,Action,2017-05-18,393
49,tt0092455,Syndication,Action,2017-05-19,379
50,tt0092455,Syndication,Action,2017-05-20,401
51,tt0092455,Syndication,Action,2017-05-21,551
52,tt0092455,Syndication,Action,2017-05-22,430
53,tt0092455,Syndication,Action,2017-05-24,78
54,tt0092455,Syndication,Action,2017-05-23,335
55,tt0092455,Syndication,Action,2017-05-25,590
56,tt0092455,Syndication,Action,2017-05-26,499
57,tt0092455,Syndication,Action,2017-05-27,547
58,tt0092455,Syndication,Action,2017-05-29,542
59,tt0092455,Syndication,Action,2017-05-28,396
60,tt0092455,Syndication,Action,2017-05-30,527
61,tt0092455,Syndication,Action,2017-05-31,507
62,tt0092455,Syndication,Action,2017-06-01,415
63,tt0092455,Syndication,Action,2017-06-02,375
64,tt0092455,Syndication,Action,2017-06-03,569
65,tt0092455,Syndication,Action,2017-06-04,562
66,tt0092455,Syndication,Action,2017-06-05,562
67,tt0092455,Syndication,Action,2017-06-06,483
68,tt0092455,Syndication,Action,2017-06-07,385
69,tt0092455,Syndication,Action,2017-06-08,502
70,tt0092455,Syndication,Action,2017-06-09,354
71,tt0092455,Syndication,Action,2017-06-10,540
72,tt0092455,Syndication,Action,2017-06-11,288
73,tt0092455,Syndication,Action,2017-06-12,426
74,tt0092455,Syndication,Action,2017-06-13,564
75,tt0092455,Syndication,Action,2017-06-14,468
76,tt0092455,Syndication,Action,2017-06-15,473
77,tt0092455,Syndication,Action,2017-06-16,544
78,tt0092455,Syndication,Action,2017-06-17,585
79,tt0092455,Syndication,Action,2017-06-19,622
80,tt0092455,Syndication,Action,2017-06-20,467
81,tt0092455,Syndication,Action,2017-06-21,651
82,tt0092455,Syndication,Action,2017-06-22,630
83,tt0092455,Syndication,Action,2017-06-23,411
84,tt0092455,Syndication,Action,2017-06-24,682
85,tt0092455,Syndication,Action,2017-06-25,729
86,tt0092455,Syndication,Action,2017-06-26,672
87,tt0092455,Syndication,Action,2017-06-27,630
88,tt0092455,Syndication,Action,2017-06-29,636
89,tt0092455,Syndication,Action,2017-06-28,550
90,tt0092455,Syndication,Action,2017-06-30,591
91,tt0092455,Syndication,Action,2017-07-01,613
92,tt0092455,Syndication,Action,2017-07-02,560
93,tt0092455,Syndication,Action,2017-07-03,653
94,tt0092455,Syndication,Action,2017-07-06,535
95,tt0092455,Syndication,Action,2017-07-04,416
96,tt0092455,Syndication,Action,2017-07-05,542
97,tt0092455,Syndication,Action,2017-07-07,636
98,tt0092455,Syndication,Action,2017-07-08,534
99,tt0092455,Syndication,Action,2017-07-09,484
100,tt0092455,Syndication,Action,2017-07-12,463
101,tt0092455,Syndication,Action,2017-07-11,506
102,tt0092455,Syndication,Action,2017-07-10,637
103,tt0092455,Syndication,Action,2017-07-13,565
104,tt0092455,Syndication,Action,2017-07-15,474
105,tt0092455,Syndication,Action,2017-07-14,515
106,tt0092455,Syndication,Action,2017-07-16,480
107,tt0092455,Syndication,Action,2017-07-18,519
108,tt0092455,Syndication,Action,2017-07-17,608
109,tt0092455,Syndication,Action,2017-07-20,483
110,tt0092455,Syndication,Action,2017-07-19,367
111,tt0092455,Syndication,Action,2017-07-21,493
112,tt0092455,Syndication,Action,2017-07-22,490
113,tt0092455,Syndication,Action,2017-07-23,493
114,tt0092455,Syndication,Action,2017-07-24,593
115,tt0092455,Syndication,Action,2017-07-25,404
116,tt0092455,Syndication,Action,2017-07-27,581
117,tt0092455,Syndication,Action,2017-07-26,196
118,tt0092455,Syndication,Action,2017-07-29,563
119,tt0092455,Syndication,Action,2017-07-28,502
120,tt0092455,Syndication,Action,2017-07-30,352
121,tt0092455,Syndication,Action,2017-07-31,577
122,tt0092455,Syndication,Action,2017-08-02,479
123,tt0092455,Syndication,Action,2017-08-01,421
124,tt0092455,Syndication,Action,2017-08-03,330
125,tt0092455,Syndication,Action,2017-08-05,359
126,tt0092455,Syndication,Action,2017-08-04,499
127,tt0092455,Syndication,Action,2017-08-06,481
128,tt0092455,Syndication,Action,2017-08-07,517
129,tt0092455,Syndication,Action,2017-08-08,396
130,tt0092455,Syndication,Action,2017-08-10,279
131,tt0092455,Syndication,Action,2017-08-09,474
132,tt0092455,Syndication,Action,2017-08-11,464
133,tt0092455,Syndication,Action,2017-08-12,455
134,tt0092455,Syndication,Action,2017-08-13,523
135,tt0092455,Syndication,Action,2017-08-14,275
136,tt0092455,Syndication,Action,2017-08-15,341
137,tt0092455,Syndication,Action,2017-08-16,532
138,tt0092455,Syndication,Action,2017-08-17,540
139,tt0092455,Syndication,Action,2017-08-18,437
140,tt0092455,Syndication,Action,2017-08-19,379
141,tt0092455,Syndication,Action,2017-08-20,493
142,tt0092455,Syndication,Action,2017-08-23,277
